cover,title,author,publisher,isbn,timestamp,activity,details,library
https://img1.od-cdn.com/ImageType-100/2390-1/{1A8C0E5C-A602-4B5D-A2A6-31DFAD0BF7B5}IMG100.JPG,Even Though I Knew the End,C. L. Polk,Tor Publishing Group,9781250849465,"January 13, 2023 04:42",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{1EF370D8-CFC6-45A8-9DBD-0E1D9C56361D}IMG100.JPG,Even Though I Knew the End,C.L. Polk,"Recorded Books, Inc.",9781705051771,"January 13, 2023 04:42",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0111-1/{8EF808C3-75DC-40A5-ABD9-8A79AB24FF8C}Img100.jpg,A Great and Terrible Beauty,Libba Bray,Random House Children's Books,9780375890499,"January 13, 2023 04:39",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0439-1/{35A488C5-A042-46A6-BD3D-5D7F8395CE7F}IMG100.JPG,Blood Like Magic,Liselle Sambury,Margaret K. McElderry Books,9781534465305,"January 13, 2023 04:30",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/4575-1/{8624F4F1-B2EA-4DB7-A44A-9625AC51D8A9}Img100.jpg,Soulless,Gail Carriger,Hachette Audio,9781549140655,"January 13, 2023 04:28",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{B9F1A650-69A7-40C7-BC22-AEFFD340EDA1}Img100.jpg,Fire,Kristin Cashore,Books on Tape,9781101145708,"January 13, 2023 04:20",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1060-1/{B8E993E1-7D88-4AF2-A305-B467ED6A73FC}Img100.jpg,Graceling,Kristin Cashore,Full Cast Audio,"","January 13, 2023 04:19",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{20095585-112E-48E0-9114-B1A7AED6ABEE}IMG100.JPG,Graceling,Kristin Cashore,HarperCollins,9780547351278,"January 13, 2023 04:19",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"January 13, 2023 04:18",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{02EF0750-A967-493C-AA14-B292C33C1DC3}Img100.jpg,Crush,Tracy Wolff,"Tantor Media, Inc.",9781705219621,"January 13, 2023 04:18",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2E788F69-82E8-4A42-B902-A8A896D49D2E}Img100.jpg,Crave,Tracy Wolff,"Tantor Media, Inc.",9781705219607,"January 13, 2023 04:16",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{18AA2FBD-D700-4A92-BC5F-94B91030E2F1}IMG100.JPG,They Both Die at the End,Adam Silvera,HarperCollins,9780062457813,"January 13, 2023 01:34",Returned, 14 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{AA05D4F9-2E76-4C3B-BB40-81B8D2DAF178}Img100.jpg,They Both Die at the End,Adam Silvera,Quill Tree Books,9780062740694,"January 13, 2023 01:34",Returned, 2 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0955-1/{B9C64692-B54B-4635-8155-273B49242F02}Img100.jpg,Ever After,Olivia Vieweg,Lerner Publishing Group,9781728405292,"January 10, 2023 01:38",renew,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1493-1/{E55BD724-CEC3-455D-871E-AD3F57E00134}IMG100.JPG,Legends & Lattes,Travis Baldree,Macmillan Audio,9781250889652,"January 10, 2023 01:38",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{4F7801C0-ACDC-4CC6-AF28-95D196D3C965}Img100.jpg,Big Magic,Elizabeth Gilbert,Penguin Publishing Group,9780698408319,"January 10, 2023 01:37",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{BD1A43C1-4384-47B2-AB85-787DB9B1AECD}Img100.jpg,Big Magic,Elizabeth Gilbert,Books on Tape,9780698410961,"January 10, 2023 01:37",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2183-1/{2BD8B36C-3BF3-4339-8E08-F895883822C5}Img100.jpg,House of Sky and Breath,Sarah J. Maas,Bloomsbury Publishing,9781635574081,"January 09, 2023 03:22",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2183-1/{787A3037-7EC3-48B8-887D-C943EC00FD21}Img100.jpg,House of Earth and Blood,Sarah J. Maas,Bloomsbury Publishing,9781635574050,"January 09, 2023 03:22",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{0A760D6B-F864-4E95-89C6-E1E3ED6964AE}Img100.jpg,Aurora Burning,"Amie Kaufman, Jay Kristoff",Books on Tape,9781524780814,"January 09, 2023 01:18",Returned, 10 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{18AA2FBD-D700-4A92-BC5F-94B91030E2F1}IMG100.JPG,They Both Die at the End,Adam Silvera,HarperCollins,9780062457813,"January 07, 2023 00:07",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/5054-1/{8A6C7499-FC93-4ACB-A72E-FF3A85DED1A6}IMG100.JPG,I'm Glad My Mom Died,Jennette McCurdy,Simon & Schuster Audio,9781797147949,"January 06, 2023 00:50",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{B1C350B4-AE25-4202-9B05-11DE643E8A40}Img100.jpg,Iron Widow,Xiran Jay Zhao,Tundra Book Group,9780735269941,"January 04, 2023 23:31",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{937D1040-5B83-4F36-B623-3710EF53E5B5}IMG100.JPG,Network Effect,Martha Wells,"Recorded Books, Inc.",9781980021711,"January 04, 2023 23:31",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{18AA2FBD-D700-4A92-BC5F-94B91030E2F1}IMG100.JPG,They Both Die at the End,Adam Silvera,HarperCollins,9780062457813,"January 04, 2023 16:59",Returned,on due date,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{B1C350B4-AE25-4202-9B05-11DE643E8A40}Img100.jpg,Iron Widow,Xiran Jay Zhao,Tundra Book Group,9780735269941,"January 04, 2023 14:48",Returned,on due date,Spokane Public Library
