,cover,title,author,publisher,isbn,timestamp,activity,details,library,return_date,due_date,score,number_of_pages
146,https://img1.od-cdn.com/ImageType-100/1191-1/{42A64C8A-9DC4-4CBB-8839-AB1AF65F900E}Img100.jpg,Cry Wolf,Patricia Briggs,Books on Tape,9781429526609,"June 10, 2022 6:05",Borrowed,21 days,Spokane Public Library,"July 09, 2022 3:55",2022-07-01 6:05:00,28,320
147,https://img1.od-cdn.com/ImageType-100/0293-1/{B8909201-82ED-469F-8371-5D0AAA679F4D}Img100.jpg,War Storm,Victoria Aveyard,HarperCollins,9780062841704,"June 09, 2022 6:34",Borrowed,21 days,Spokane Public Library,"June 28, 2022 14:29",2022-06-30 6:34:00,19,672
148,https://img1.od-cdn.com/ImageType-100/0887-1/{71C633FA-6064-46CD-ACC2-93B6A7C1547D}Img100.jpg,Midnight Sun,Stephenie Meyer,Hachette Audio,9781549134661,"June 02, 2022 23:37",Borrowed,21 days,Spokane Public Library,"June 05, 2022 20:46",2022-06-23 23:37:00,2,662
149,https://img1.od-cdn.com/ImageType-100/0293-1/{C9609AA3-26B1-4478-BAF8-62097449A1C0}Img100.jpg,Red Queen,Victoria Aveyard,HarperTeen,9780062346513,"June 02, 2022 23:00",Borrowed,21 days,Spokane Public Library,"June 09, 2022 6:35",2022-06-23 23:00:00,6,383
150,https://img1.od-cdn.com/ImageType-100/1219-1/{379729DC-D3C3-4378-9108-7B27D40F1913}Img100.jpg,A Touch of Darkness,Scarlett St. Clair,"Tantor Media, Inc.",9781705234020,"June 02, 2022 23:00",Borrowed,21 days,Spokane Public Library,"June 23, 2022 23:00",2022-06-23 23:00:00,21,392
151,https://img1.od-cdn.com/ImageType-100/1493-1/{1B5D1E8A-9792-4F1F-B198-3A4A231F7D98}Img100.jpg,Ninth House,Leigh Bardugo,Macmillan Audio,9781250230911,"June 01, 2022 21:19",Borrowed,21 days,Spokane Public Library,"June 07, 2022 0:46",2022-06-22 21:19:00,5,458
152,https://img1.od-cdn.com/ImageType-100/1191-1/{D41A57F6-B12D-408F-9EF1-7E96D31AA72B}Img100.jpg,Eragon,Christopher Paolini,Books on Tape,9780807219645,"May 31, 2022 15:45",Borrowed,21 days,Spokane Public Library,"June 20, 2022 23:09",2022-06-21 15:45:00,20,528
153,https://img1.od-cdn.com/ImageType-100/0293-1/{E4FA8E66-895A-4359-AEEF-9FCC3126E3A3}Img100.jpg,Daughter of the Moon Goddess,Sue Lynn Tan,HarperAudio,9780063031340,"May 30, 2022 23:00",Borrowed,21 days,Spokane Public Library,"June 17, 2022 20:41",2022-06-20 23:00:00,17,512
154,https://img1.od-cdn.com/ImageType-100/4575-1/{29C49BBB-A942-43B4-8BD9-32CDD49097A7}IMG100.JPG,The Time of Contempt,Andrzej Sapkowski,Hachette Audio,9781478904731,"May 30, 2022 17:33",Borrowed,21 days,Spokane Public Library,"July 08, 2022 17:39",2022-06-20 17:33:00,39,352
155,https://img1.od-cdn.com/ImageType-100/1694-1/{097FFE1F-36F3-493A-A09B-791728F2EADD}IMG100.JPG,A Court of Frost and Starlight,Sarah J. Maas,"Recorded Books, Inc.",9781501994661,"May 29, 2022 6:17",Borrowed,21 days,Spokane Public Library,"June 13, 2022 20:40",2022-06-19 6:17:00,15,272
156,https://img1.od-cdn.com/ImageType-100/0293-1/{5A9ED96B-E3A1-4207-8C63-8B75BD9B39E9}Img100.jpg,Good Omens,"Neil Gaiman, Terry Pratchett",HarperAudio,9780061967078,"May 29, 2022 0:07",Borrowed,21 days,Spokane Public Library,"June 01, 2022 21:19",2022-06-19 0:07:00,3,432
157,https://img1.od-cdn.com/ImageType-100/4575-1/{379A72A9-5F2D-4E2C-B26A-C03CF2F1BFD4}IMG100.JPG,The Last Wish,Andrzej Sapkowski,Hachette Audio,9781478904717,"May 29, 2022 0:05",Borrowed,21 days,Spokane Public Library,"June 16, 2022 0:47",2022-06-19 0:05:00,18,360
